threads,total_threads,total_samples,total_time,avg_time_per_sample,max_time_per_sample,min_time_per_sample,total_tokens,throughput_tokens_per_second,throughput_reviews_per_second,memory_before_mb,memory_after_mb,memory_increase_mb,num_cpu_cores,active_cpu_cores,avg_core_usage,max_core_usage,per_core_usage,cpu_samples_collected
1,2,1000,183.3307905197144,0.18316015791893,0.2690572738647461,0.1663031578063964,55401,302.19146409038416,5.454621109553693,1401.46484375,1027.47265625,-373.9921875,4,2,25.701819184123483,75.43825799338478,"[1.0529217199558987, 25.236493936052923, 1.0796030871003306, 75.43825799338478]",907
2,4,1000,98.03378701210022,0.0979411170482635,0.1312775611877441,0.0874013900756836,55401,565.1214921765892,10.20056483053716,1401.59765625,1031.8125,-369.78515625,4,3,50.69420289855073,99.96211180124224,"[57.143271221532096, 1.4339544513457556, 44.237474120082815, 99.96211180124223]",483
3,6,1000,94.70247554779051,0.0945858244895935,0.1522753238677978,0.08134126663208,55401,585.0005470241642,10.559386058449563,1401.8671875,1038.09765625,-363.76953125,4,4,75.81702355460385,100.0,"[100.0, 98.71713062098502, 41.87730192719486, 62.673661670235546]",467
4,8,1000,65.7875669002533,0.0656486055850982,0.1359410285949707,0.0570499897003173,55401,842.1196072503891,15.200440556134168,1401.73828125,1040.78515625,-360.953125,4,4,99.97105263157896,99.97430340557275,"[99.97430340557275, 99.96904024767802, 99.96904024767802, 99.971826625387]",323
