parallelism,spark_time,torch_time,time_ratio,spark_speedup,torch_speedup,speedup_ratio,spark_efficiency,torch_efficiency,efficiency_ratio
1,1874.1537885665891,1901.1241629123688,1.0143906943551348,1.0,1.0,1.0,1.0,1.0,1.0
2,979.23198223114,1088.0258815288544,1.1111012520749495,1.9139017337816178,1.747315201951794,0.9129597257322764,0.9569508668908089,0.873657600975897,0.9129597257322764
3,686.3499245643616,970.8084042072296,1.4144510977012474,2.7306097392757023,1.9582897662127707,0.7171620821700466,0.9102032464252341,0.652763255404257,0.7171620821700466
4,519.985846042633,658.121423959732,1.265652572985176,3.6042400054345505,2.8887133797800377,0.8014764209443249,0.9010600013586376,0.7221783449450094,0.8014764209443249
